Feature,Mean_Ratio
 shops shutter,0.0
 shops shutter,6.076257025672186e-05
 shops shutter,0.0
Bike,0.0
Bike,0.0
Bike,0.0
Motor Bike,0.0014118751223982293
Motor Bike,0.007562587781321152
Motor Bike,2.3145197030129736e-05
Flower,0.0
Flower,0.0
Flower,0.0
Flower box,0.0
Flower box,0.0
Flower box,0.0
Grass,0.0021449527296603537
Grass,0.0031242862141290426
Grass,0.0007291787501611419
Plant cover,0.11522210889579439
Plant cover,0.03311335454347098
Plant cover,0.05479061316998156
Path and sidewalk,0.6196032747114865
Path and sidewalk,0.5508935401514098
Path and sidewalk,0.6273843607185801
Person in group,0.0
Person in group,4.63844123636105e-06
Person in group,0.0
Person standing,0.004950802094044726
Person standing,0.000853878336678362
Person standing,0.003513769799899452
Person sitting,0.0
Person sitting,0.0
Person sitting,0.00028175276066007694
Trees with oval shape,0.0
Trees with oval shape,0.0
Trees with oval shape,0.0
Water,0.0006733687875000761
Water,1.1372483837950853e-05
Water,0.0009304980914970767
Trees with columnar shape,0.11687017926452481
Trees with columnar shape,0.11476578007817036
Trees with columnar shape,0.04693374026005043
Autos,0.02253818531802272
Autos,0.12124923330760691
Autos,0.011027984004873388
Sky,0.07792772275099
Sky,0.07675113748465756
Sky,0.10739295853442231
Palm trees,0.02124511355900697
Palm trees,0.08144693627200332
Palm trees,0.1299185734144157
Dome,0.0
Dome,0.0
Dome,0.0
Sunshade,0.0
Sunshade,0.0
Sunshade,0.0
merge_E_H_N,0.0019654910990779735
merge_E_H_N,0.008745715558670597
merge_E_H_N,0.0016632551567566803
merge_B_C_D_,0.00034919662714319097
merge_B_C_D_,6.941210320151236e-05
merge_B_C_D_,0.0009760939163043884
Wall_pixels,0.015097729040350092
Wall_pixels,0.001347364673349453
Wall_pixels,0.014434076225367621
